;AphiaID;accid;class;order;family;genus;subgenus;species;subspecies;ScientificName;taxonomicStatus;taxonRank;type;authorship;source;valid_AphiaID
4138;453830;NA;Malacostraca;Decapoda;Portunidae;Lupocyclus;NA;granulatus;NA;Lupocyclus granulatus;junior subjective synonym;Species;synonym;Leene & Buitendijk, 1952;WORMS;208784
4139;451960;NA;Malacostraca;Decapoda;Portunidae;Amphitrite;NA;argentata;NA;Amphitrite argentata;unaccepted;Species;synonym;White, 1847;WORMS;210294
4140;1061766;NA;Malacostraca;Decapoda;Portunidae;Monomia;NA;argentata;argentata;Monomia argentata argentata;unaccepted;Subspecies;synonym;(A. Milne-Edwards, 1861);WORMS;210294
4141;456103;NA;Malacostraca;Decapoda;Portunidae;Neptunus;;argentatus;NA;Neptunus argentatus;unaccepted;Species;synonym;(A. Milne-Edwards, 1861);WORMS;210294
4142;454126;NA;Malacostraca;Decapoda;Portunidae;Neptunus;NA;argentatus;NA;Neptunus argentatus;unaccepted;Species;synonym;A. Milne-Edwards, 1861;WORMS;210294
4143;208806;NA;Malacostraca;Decapoda;Portunidae;Portunus;;argentatus;NA;Portunus argentatus;unaccepted;Species;synonym;(A. Milne-Edwards, 1861);WORMS;210294
4144;447772;NA;Malacostraca;Decapoda;Portunidae;Portunus;;argentatus;argentatus;Portunus argentatus argentatus;unaccepted;Subspecies;synonym;(A. Milne-Edwards, 1861);WORMS;210294
4145;442794;NA;Malacostraca;Decapoda;Portunidae;Portunus;;australiensis;NA;Portunus australiensis;superseded combination;Species;synonym;Stephenson & S Cook, 1973;WORMS;1061705
4146;1419787;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;australiensis;NA;Portunus australiensis;superseded combination;Species;synonym;Stephenson & S. Cook, 1973;WORMS;1061705
4147;442795;NA;Malacostraca;Decapoda;Portunidae;Portunus;;curvipenis;NA;Portunus curvipenis;superseded combination;Species;synonym;Stephenson, 1961;WORMS;1061706
4148;1419595;NA;Malacostraca;Decapoda;Portunidae;Portunus;NA;curvipenis;NA;Portunus curvipenis;superseded combination;Species;synonym;Stephenson, 1961;WORMS;1061706
4149;454109;NA;Malacostraca;Decapoda;Portunidae;Neptunus;;euglyphus;NA;Neptunus euglyphus;superseded combination;Species;synonym;Laurie, 1906;WORMS;1061707
4150;208787;NA;Malacostraca;Decapoda;Portunidae;Portunus;;euglyphus;NA;Portunus euglyphus;superseded combination;Species;synonym;(Laurie, 1906);WORMS;1061707
4151;208786;NA;Malacostraca;Decapoda;Portunidae;Portunus;;gladiator;NA;Portunus gladiator;unaccepted;Species;synonym;Fabricius, 1798;WORMS;210295
4152;1061767;NA;Malacostraca;Decapoda;Portunidae;Monomia;NA;argentata;glareosa;Monomia argentata glareosa;superseded combination;Subspecies;synonym;(Alcock, 1899);WORMS;1254004
4153;456245;NA;Malacostraca;Decapoda;Portunidae;Neptunus;;argentatus;var. glareosus;Neptunus argentatus var. glareosus;superseded combination;Variety;synonym;Alcock, 1899;WORMS;1254004
