;AphiaID;accid;class;order;family;genus;subgenus;species;subspecies;ScientificName;taxonomicStatus;taxonRank;type;authorship;source;valid_AphiaID
4767;207564;NA;Malacostraca;Decapoda;Sesarmidae;Sesarmops;NA;impressum;NA;Sesarmops impressum;unaccepted;Species;synonym;(H. Milne Edwards, 1837);WORMS;444693
4768;455465;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;mindanaoense;NA;Sesarma mindanaoense;unaccepted;Species;synonym;Rathbun, 1914;WORMS;444695
4769;444697;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;weberi;NA;Sesarma weberi;unaccepted;Species;synonym;de Man, 1892;WORMS;1264580
4770;455470;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;stormi;NA;Sesarma stormi;unaccepted;Species;synonym;de Man, 1895;WORMS;444698
4771;455472;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;tiomanense;NA;Sesarma tiomanense;unaccepted;Species;synonym;Rathbun, 1913;WORMS;444699
4772;455524;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;indicum;NA;Sesarma indicum;unaccepted;Species;synonym;H. Milne Edwards, 1837;WORMS;444699
4773;1264362;NA;Malacostraca;Decapoda;Sesarmidae;Chiromantes;NA;angolense;NA;Chiromantes angolense;unaccepted;Species;synonym;(de Brito Capello, 1864);WORMS;1472863
4774;241206;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;;angolense;NA;Sesarma angolense;unaccepted;Species;synonym;De Brito Capello, 1865;WORMS;1472863
4775;444492;NA;Malacostraca;Decapoda;Sesarmidae;Sesarma;NA;angolensis;NA;Sesarma angolensis;unaccepted;Species;synonym;de Brito Capello, 1864;WORMS;1472863
4776;209135;NA;Malacostraca;Decapoda;Xanthidae;Chlorodiella;NA;bidentata;NA;Chlorodiella bidentata;superseded combination;Species;synonym;(Nobili, 1901);WORMS;442688
4777;452545;NA;Malacostraca;Decapoda;Xanthidae;Chlorodius;NA;bidentatus;NA;Chlorodius bidentatus;superseded combination;Species;synonym;Nobili, 1901;WORMS;442688
4778;459257;NA;Malacostraca;Decapoda;Tetraliidae;Tetralia;NA;glaberrima;f. pullidactyla;Tetralia glaberrima f. pullidactyla;unavailable name;Forma;synonym;Patton, 1966;WORMS;443857
4779;224085;NA;Malacostraca;Decapoda;Tetraliidae;Tetralia;NA;glaberrima;pullidactyla;Tetralia glaberrima pullidactyla;junior subjective synonym;Subspecies;synonym;Garth, 1971;WORMS;443857
4780;452215;NA;Malacostraca;Decapoda;Cancridae;Cancer;NA;glaberrima;NA;Cancer glaberrima;superseded combination;Species;synonym;Herbst, 1790 [in Herbst, 1782-1790];WORMS;210304
4781;459255;NA;Malacostraca;Decapoda;Tetraliidae;Tetralia;NA;glaberrima;f. fulva;Tetralia glaberrima f. fulva;unavailable name;Forma;synonym;Patton, 1966;WORMS;210304
4782;224086;NA;Malacostraca;Decapoda;Tetraliidae;Tetralia;NA;glaberrima;fulva;Tetralia glaberrima fulva;unaccepted;Subspecies;synonym;Serène, 1984;WORMS;210304
4783;224084;NA;Malacostraca;Decapoda;Tetraliidae;Tetralia;NA;glaberrima;laevissima;Tetralia glaberrima laevissima;unaccepted;Subspecies;synonym;Stimpson, 1858;WORMS;210304
4784;455709;NA;Malacostraca;Decapoda;Tetraliidae;Tetralia;NA;laevissima;NA;Tetralia laevissima;junior subjective synonym;Species;synonym;Stimpson, 1858;WORMS;210304
4785;455712;NA;Malacostraca;Decapoda;Tetraliidae;Tetralia;NA;sanguineomaculata;NA;Tetralia sanguineomaculata;junior subjective synonym;Species;synonym;Galil & PF Clark, 1990;WORMS;210304
4786;210182;NA;Malacostraca;Decapoda;Trapeziidae;Trapezia;NA;glaberrima;NA;Trapezia glaberrima;superseded combination;Species;synonym;(Herbst, 1790 [in Herbst, 1782-1790]);WORMS;210304
