"AphiaID","accid","class","order","family","genus","subgenus","species","subspecies","canonical","taxonomicStatus","taxonRank","type","authorship","source","valid_AphiaID","id"
"452342",2285,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"praedo",NA,"Cancer praedo","junior subjective synonym","Species","synonym","Herbst, 1796 [in Herbst, 1791-1796]","WORMS","107358",671
"452343",6602,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"pransor",NA,"Cancer pransor","unaccepted","Species","synonym","Herbst, 1796 [in Herbst, 1791-1796]","WORMS","442267",672
"452344",62,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"princeps",NA,"Cancer princeps","unaccepted","Species","synonym","Herbst, 1794 [in Herbst, 1791-1796]","WORMS","344730",673
"440382",0,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"productus",NA,"Cancer productus","accepted","Species","accepted","Randall, 1840","WoRMS",NA,674
"452345",9103,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"prymna",NA,"Cancer prymna","unaccepted","Species","synonym","Herbst, 1803 [in Herbst, 1799-1804]","WORMS","1467079",675
"452346",8248,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"puber",NA,"Cancer puber","superseded combination","Species","synonym","Linnaeus, 1767","WORMS","107398",676
"452347",62,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"pudibundus",NA,"Cancer pudibundus","unaccepted","Species","synonym","Herbst, 1785 [in Herbst, 1782-1790]","WORMS","344730",677
"452348",4616,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"punctata",NA,"Cancer punctata","unaccepted","Species","synonym","Linnaeus, 1758","WORMS","441258",678
"452349",4491,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"punctatus",NA,"Cancer punctatus","unaccepted","Species","synonym","Herbst, 1783 [in Herbst, 1782-1790]","WORMS","107309",679
"148488",3186,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"pusillus",NA,"Cancer pusillus","unaccepted","Species","synonym","J.C. Fabricius, 1775","WORMS","107462",680
"148504",797,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"pygmaeus",NA,"Cancer pygmaeus","junior homonym","Species","synonym","Ortmann, 1893","WORMS","440383",681
"452350",832,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"pygmeus",NA,"Cancer pygmeus","junior subjective synonym","Species","synonym","JC Fabricius, 1787","WORMS","107381",682
"452351",5858,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"quadratus",NA,"Cancer quadratus","unaccepted","Species","synonym","J.C. Fabricius, 1787","WORMS","158432",683
"452352",9591,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"quadratus",NA,"Cancer quadratus","unaccepted","Species","synonym","Fabricius, 1798","WORMS","207569",684
"452353",1271,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"quadridens",NA,"Cancer quadridens","unaccepted","Species","synonym","Fabricius, 1793","WORMS","225679",685
"452103",5477,"Malacostraca","Decapoda","Cancridae","Cancer","","quadridens",NA,"Cancer quadridens","unaccepted","Species","synonym","De Haan, 1833 [in De Haan, 1833-1850]","WORMS","211055",686
"880764",8868,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"raihoae",NA,"Cancer raihoae","unaccepted","Species","synonym","Curtiss, 1938","WORMS","1061758",687
"452354",9317,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"ranina",NA,"Cancer ranina","superseded combination","Species","synonym","Linnaeus, 1758","WORMS","209574",688
"148481",9909,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"residuus",NA,"Cancer residuus","junior subjective synonym","Species","synonym","Herbst, 1799 [in Herbst, 1799-1804]","WORMS","107281",689
"452355",8854,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"reticulatus",NA,"Cancer reticulatus","unaccepted","Species","synonym","Herbst, 1799 [in Herbst, 1799-1804]","WORMS","1061756",690
