Family,Genus,Subgenus,ScientificName,Species,SubSpecies,taxonRank_gbif,taxonomicStatus_gbif,taxonRank_corr,AphiaID,Match type,Qualitystatus,Taxon status,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial,valid_AphiaID,reason_excluded,reason_included,match,comments,link
"""Gecarcinucidae""","""Parathelphusa""",NA,"""Parathelphusa maculata""","""maculata""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440709,exact,Checked by Taxonomic Editor,accepted,Parathelphusa maculata,"de Man, 1879",440709,Parathelphusa maculata,"de Man, 1879",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Parathelphusa,,maculata,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Parathelphusa""",NA,"""Parathelphusa oxygona""","""oxygona""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440720,exact,Checked by Taxonomic Editor,accepted,Parathelphusa oxygona,"Nobili, 1901",440720,Parathelphusa oxygona,"Nobili, 1901",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Parathelphusa,,oxygona,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Sundathelphusa""",NA,"""Sundathelphusa aruana""","""aruana""",NA,"""SPECIES""","""SYNONYM""","""SPECIES""",440834,exact,Checked by Taxonomic Editor,accepted,Sundathelphusa aruana,"(J Roux, 1911)",440834,Sundathelphusa aruana,"(J Roux, 1911)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Sundathelphusa,,aruana,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Siamthelphusa""",NA,"""Siamthelphusa improvisa""","""improvisa""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440788,exact,Checked by Taxonomic Editor,accepted,Siamthelphusa improvisa,"(Lanchester, 1902)",440788,Siamthelphusa improvisa,"(Lanchester, 1902)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Siamthelphusa,,improvisa,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Sartoriana""",NA,"""Sartoriana spinigera""","""spinigera""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440774,exact,Checked by Taxonomic Editor,accepted,Sartoriana spinigera,"(Wood-Mason, 1871)",440774,Sartoriana spinigera,"(Wood-Mason, 1871)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Sartoriana,,spinigera,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Mahatha""",NA,"""Mahatha ornatipes""","""ornatipes""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440670,exact,Checked by Taxonomic Editor,accepted,Mahatha ornatipes,"(J. Roux, 1915)",440670,Mahatha ornatipes,"(J. Roux, 1915)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Mahatha,,ornatipes,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Sayamia""",NA,"""Sayamia sexpunctata""","""sexpunctata""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440780,exact,Checked by Taxonomic Editor,accepted,Sayamia sexpunctata,"(Lanchester, 1906)",440780,Sayamia sexpunctata,"(Lanchester, 1906)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Sayamia,,sexpunctata,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Terrathelphusa""",NA,"""Terrathelphusa kuhlii""","""kuhlii""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440864,exact,Checked by Taxonomic Editor,accepted,Terrathelphusa kuhlii,"(de Man, 1883)",440864,Terrathelphusa kuhlii,"(de Man, 1883)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Terrathelphusa,,kuhlii,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Barytelphusa""",NA,"""Barytelphusa jacquemontii""","""jacquemontii""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440534,exact,Checked by Taxonomic Editor,unaccepted,Barytelphusa jacquemontii,"(Rathbun, 1905)",440532,Barytelphusa cunicularis,"(Westwood in Sykes, 1836)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Barytelphusa,,jacquemontii,,0,0,1,,,not marine,,fuzzyWORMS,,
"""Chasmocarcinidae""","""Australocarcinus""",NA,"""Australocarcinus riparius""","""riparius""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440910,exact,Checked by Taxonomic Editor,accepted,Australocarcinus riparius,"Davie, 1988",440910,Australocarcinus riparius,"Davie, 1988",Animalia,Arthropoda,Malacostraca,Decapoda,Chasmocarcinidae,Australocarcinus,,riparius,,0,0,1,0,,not marine,,fuzzyWORMS,,
