Family,Genus,Subgenus,ScientificName_gbif,Species,Subspecies,taxonRank_gbif,taxonomicStatus_gbif,taxonRank_corr,AphiaID,Match type,Qualitystatus,Taxon status,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial,valid_AphiaID,reason_excluded,reason_included,match,comments,link
"""Paguridae""","""Pagurus""",NA,"""Pagurus bonairensis""","""bonairensis""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",412303,near_1,Checked by Taxonomic Editor,unaccepted,Pagurus bonariensis,"Schmitt, 1936",366800,Pagurus stimpsoni,"(A. Milne-Edwards & Bouvier, 1893)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,,bonariensis,,1,,,,,,misspelling,fuzzyWORMS,,
"""Paguridae""","""Anapagurus""",NA,"""Anapagurus acutus""","""acutus""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",590358,exact,Checked by Taxonomic Editor,taxon inquirendum,Anapagurus acutus,"A. Milne-Edwards & Bouvier, 1893",590358,Anapagurus acutus,"A. Milne-Edwards & Bouvier, 1893",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Anapagurus,,acutus,,1,0,0,0,,doubtful,,fuzzyWORMS,,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus cristatus""","""cristatus""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",366502,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Australeremus) cristatus,"(H. Milne Edwards, 1836)",366502,Lophopagurus (Australeremus) cristatus,"(H. Milne Edwards, 1836)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Australeremus,cristatus,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus cookii""","""cookii""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",366501,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Australeremus) cookii,"(Filhol, 1884)",366501,Lophopagurus (Australeremus) cookii,"(Filhol, 1884)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Australeremus,cookii,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus kirkii""","""kirkii""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",366505,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Australeremus) kirkii,"(Filhol, 1884)",366505,Lophopagurus (Australeremus) kirkii,"(Filhol, 1884)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Australeremus,kirkii,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus laurentae""","""laurentae""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",366506,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Australeremus) laurentae,"(McLaughlin & Gunn, 1992)",366506,Lophopagurus (Australeremus) laurentae,"(McLaughlin & Gunn, 1992)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Australeremus,laurentae,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus eltaninae""","""eltaninae""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",366503,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Australeremus) eltaninae,"(McLaughlin & Gunn, 1992)",366503,Lophopagurus (Australeremus) eltaninae,"(McLaughlin & Gunn, 1992)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Australeremus,eltaninae,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Paguridae""","""Lophopagurus""",NA,"""Lophopagurus pumilus""","""pumilus""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",366497,exact,Checked by Taxonomic Editor,accepted,Lophopagurus (Lophopagurus) pumilus,"de Saint Laurent & McLaughlin in Forest, de Saint Laurent, McLaughlin & Lemaitre, 2000",366497,Lophopagurus (Lophopagurus) pumilus,"de Saint Laurent & McLaughlin in Forest, de Saint Laurent, McLaughlin & Lemaitre, 2000",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Lophopagurus,Lophopagurus,pumilus,,1,0,0,0,,,synonym,fuzzyWORMS,missing subgenus,
"""Pylochelidae""","""Cheiroplatea""",NA,"""Cheiroplatea laticauda""","""laticauda""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",411831,near_2,Checked by Taxonomic Editor,accepted,Cheiroplatea laticaudata,"Boas, 1926",411831,Cheiroplatea laticaudata,"Boas, 1926",Animalia,Arthropoda,Malacostraca,Decapoda,Pylochelidae,Cheiroplatea,,laticaudata,,1,0,0,0,,,misspelling,fuzzyWORMS,,
"""Calcinidae""","""Ciliopagurus""",NA,"""Ciliopagurus caparti""","""caparti""",NA,"""SPECIES""","""SYNONYM""","""SPECIES""",367477,exact,Checked by Taxonomic Editor,accepted,Ciliopagurus caparti,"(Forest, 1952)",367477,Ciliopagurus caparti,"(Forest, 1952)",Animalia,Arthropoda,Malacostraca,Decapoda,Calcinidae,Ciliopagurus,,caparti,,,0,1,0,,not marine,,fuzzyWORMS,,
