"AphiaID","accid","class","order","family","genus","subgenus","species","subspecies","canonical","taxonomicStatus","taxonRank","type","authorship","source","valid_AphiaID","id"
"467703",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"symmysta",NA,"Albunea symmysta","accepted","Species","accepted","(Linnaeus, 1758)","WoRMS",NA,36
"210326",36,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"symnista",NA,"Albunea symnista","unaccepted","Species","synonym","(Linnaeus, 1767)","WORMS","467703",37
"210323",0,"Malacostraca","Decapoda","Albuneidae","Albunea",NA,"thurstoni",NA,"Albunea thurstoni","accepted","Species","accepted","Henderson, 1893","WoRMS",NA,38
"467725",0,"Malacostraca","Decapoda","Albuneidae","Austrolepidopa",NA,"caledonia",NA,"Austrolepidopa caledonia","accepted","Species","accepted","Boyko & Harvey, 1999","WoRMS",NA,39
"467724",0,"Malacostraca","Decapoda","Albuneidae","Austrolepidopa",NA,"schmitti",NA,"Austrolepidopa schmitti","accepted","Species","accepted","Efford & Haig, 1968","WoRMS",NA,40
"467726",0,"Malacostraca","Decapoda","Albuneidae","Austrolepidopa",NA,"trigonops",NA,"Austrolepidopa trigonops","accepted","Species","accepted","Efford & Haig, 1968","WoRMS",NA,41
"421881",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"benedicti",NA,"Lepidopa benedicti","accepted","Species","accepted","Schmitt, 1935","WoRMS",NA,42
"1392501",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"boykoi",NA,"Lepidopa boykoi","accepted","Species","accepted","Ortiz, Tello-Musi & Morales-Moreno, 2018","WoRMS",NA,43
"467745",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"californica",NA,"Lepidopa californica","accepted","Species","accepted","Efford, 1971","WoRMS",NA,44
"467744",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"chilensis",NA,"Lepidopa chilensis","accepted","Species","accepted","Lenz, 1902","WoRMS",NA,45
"467748",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"deamae",NA,"Lepidopa deamae","accepted","Species","accepted","Benedict, 1903","WoRMS",NA,46
"467743",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"dexterae",NA,"Lepidopa dexterae","accepted","Species","accepted","Abele & Efford, 1972","WoRMS",NA,47
"467736",71,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"distincta",NA,"Lepidopa distincta","unaccepted","Species","synonym","Gomes Corrêa, 1968","WORMS","467737",48
"467741",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"esposa",NA,"Lepidopa esposa","accepted","Species","accepted","Efford, 1971","WoRMS",NA,49
"467749",57,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"fernandesi",NA,"Lepidopa fernandesi","unaccepted","Species","synonym","Garcia Mendes, 1945","WORMS","421882",50
"467746",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"haigae",NA,"Lepidopa haigae","accepted","Species","accepted","Efford, 1971","WoRMS",NA,51
"467738",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"luciae",NA,"Lepidopa luciae","accepted","Species","accepted","Boyko, 2002","WoRMS",NA,52
"467747",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"mearnsi",NA,"Lepidopa mearnsi","accepted","Species","accepted","Benedict, 1903","WoRMS",NA,53
"467739",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"mexicana",NA,"Lepidopa mexicana","accepted","Species","accepted","Efford, 1971","WoRMS",NA,54
"467734",72,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"panamaensis",NA,"Lepidopa panamaensis","unaccepted","Species","synonym","Efford, 1971","WORMS","467733",55
"467750",46,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"rhomboocularis",NA,"Lepidopa rhomboocularis","unaccepted","Species","synonym","Schuster-Dieterichs, 1956","WORMS","467748",56
"421882",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"richmondi",NA,"Lepidopa richmondi","accepted","Species","accepted","Benedict, 1903","WoRMS",NA,57
"467751",46,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"sorodeamae",NA,"Lepidopa sorodeamae","unaccepted","Species","synonym","Efford, 1971","WORMS","467748",58
"467742",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"venusta",NA,"Lepidopa venusta","accepted","Species","accepted","Stimpson, 1859","WoRMS",NA,59
"158396",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"websteri",NA,"Lepidopa websteri","accepted","Species","accepted","Benedict, 1903","WoRMS",NA,60
"467740",0,"Malacostraca","Decapoda","Albuneidae","Lepidopa",NA,"wollebaeki",NA,"Lepidopa wollebaeki","accepted","Species","accepted","Sivertsen, 1933","WoRMS",NA,61
"467732",72,"Malacostraca","Decapoda","Albuneidae","Lepidops",NA,"myops",NA,"Lepidops myops","unaccepted","Species","synonym","Stimpson, 1860","WORMS","467733",62
"467728",0,"Malacostraca","Decapoda","Albuneidae","Leucolepidopa",NA,"sunda",NA,"Leucolepidopa sunda","accepted","Species","accepted","Efford, 1969","WoRMS",NA,63
"1436714",0,"Malacostraca","Decapoda","Albuneidae","Paralbunea",NA,"chani",NA,"Paralbunea chani","accepted","Species","accepted","Boyko, 2020","WoRMS",NA,64
"1436715",0,"Malacostraca","Decapoda","Albuneidae","Paralbunea",NA,"chirotheca",NA,"Paralbunea chirotheca","accepted","Species","accepted","Boyko, 2020","WoRMS",NA,65
"467762",0,"Malacostraca","Decapoda","Albuneidae","Paralbunea",NA,"dayriti",NA,"Paralbunea dayriti","accepted","Species","accepted","(Serène & Umali, 1965)","WoRMS",NA,66
"467757",0,"Malacostraca","Decapoda","Albuneidae","Paralbunea",NA,"intermedia",NA,"Paralbunea intermedia","accepted","Species","accepted","(Balss, 1916)","WoRMS",NA,67
"220566",0,"Malacostraca","Decapoda","Albuneidae","Paralbunea",NA,"manihinei",NA,"Paralbunea manihinei","accepted","Species","accepted","Serène, 1977","WoRMS",NA,68
"467760",0,"Malacostraca","Decapoda","Albuneidae","Paralbunea",NA,"paradoxa",NA,"Paralbunea paradoxa","accepted","Species","accepted","(Gordon, 1938)","WoRMS",NA,69
"689414",0,"Malacostraca","Decapoda","Albuneidae","Paralbunea",NA,"takedai",NA,"Paralbunea takedai","accepted","Species","accepted","Osawa & Fujita, 2012","WoRMS",NA,70
"467737",0,"Malacostraca","Decapoda","Albuneidae","Paraleucolepidopa",NA,"distincta",NA,"Paraleucolepidopa distincta","accepted","Species","accepted","(Gomes Corrêa, 1968)","WoRMS",NA,71
"467733",0,"Malacostraca","Decapoda","Albuneidae","Paraleucolepidopa",NA,"myops",NA,"Paraleucolepidopa myops","accepted","Species","accepted","(Stimpson, 1860)","WoRMS",NA,72
"467768",74,"Malacostraca","Decapoda","Albuneidae","Squillalbunea",NA,"mariellae",NA,"Squillalbunea mariellae","unaccepted","Species","synonym","(Serène, 1973)","WORMS","504154",73
"504154",0,"Malacostraca","Decapoda","Albuneidae","Squillalbunea",NA,"scutelloides",NA,"Squillalbunea scutelloides","accepted","Species","accepted","(Garstang, 1897)","WoRMS",NA,74
"467774",0,"Malacostraca","Decapoda","Albuneidae","Stemonopa",NA,"insignis",NA,"Stemonopa insignis","accepted","Species","accepted","Efford & Haig, 1968","WoRMS",NA,75
"872751",0,"Malacostraca","Decapoda","Albuneidae","Zygopa",NA,"lalanai",NA,"Zygopa lalanai","accepted","Species","accepted","Ortiz, 2015","WoRMS",NA,76
"421883",0,"Malacostraca","Decapoda","Albuneidae","Zygopa",NA,"michaelis",NA,"Zygopa michaelis","accepted","Species","accepted","Holthuis, 1961","WoRMS",NA,77
"467763",0,"Malacostraca","Decapoda","Albuneidae","Zygopa",NA,"nortoni",NA,"Zygopa nortoni","accepted","Species","accepted","Serène & Umali, 1965","WoRMS",NA,78
"392900",2262,"Malacostraca","Decapoda","Astacidae","Astacus",NA,"bamffius",NA,"Astacus bamffius","unaccepted","Species","synonym","Pennant, 1777","WORMS","107160",79
"392862",1522,"Malacostraca","Decapoda","Astacidae","Astacus",NA,"strigosus",NA,"Astacus strigosus","unaccepted","Species","synonym","(Linnaeus, 1761)","WORMS","107155",80
"467722",86,"Malacostraca","Decapoda","Blepharipodidae","Abrote",NA,"spinimana",NA,"Abrote spinimana","unaccepted","Species","synonym","Philippi, 1857","WORMS","467718",81
"467721",86,"Malacostraca","Decapoda","Blepharipodidae","Albunhippa",NA,"spinosa",NA,"Albunhippa spinosa","unaccepted","Species","synonym","H. Milne Edwards & Lucas, 1841","WORMS","467718",82
"467719",0,"Malacostraca","Decapoda","Blepharipodidae","Blepharipoda",NA,"doelloi",NA,"Blepharipoda doelloi","accepted","Species","accepted","Schmitt, 1942","WoRMS",NA,83
"467720",0,"Malacostraca","Decapoda","Blepharipodidae","Blepharipoda",NA,"liberata",NA,"Blepharipoda liberata","accepted","Species","accepted","Shen, 1949","WoRMS",NA,84
"467717",0,"Malacostraca","Decapoda","Blepharipodidae","Blepharipoda",NA,"occidentalis",NA,"Blepharipoda occidentalis","accepted","Species","accepted","Randall, 1840","WoRMS",NA,85
"467718",0,"Malacostraca","Decapoda","Blepharipodidae","Blepharipoda",NA,"spinosa",NA,"Blepharipoda spinosa","accepted","Species","accepted","(H. Milne Edwards & Lucas, 1841)","WoRMS",NA,86
"467709",90,"Malacostraca","Decapoda","Blepharipodidae","Blepharopoda",NA,"fauriana",NA,"Blepharopoda fauriana","unaccepted","Species","synonym","Bouvier, 1898","WORMS","467705",87
"467708",90,"Malacostraca","Decapoda","Blepharipodidae","Blepharopoda",NA,"japonica",NA,"Blepharopoda japonica","unaccepted","Species","synonym","Duruflé, 1889","WORMS","467705",88
"467714",0,"Malacostraca","Decapoda","Blepharipodidae","Lophomastix",NA,"diomedeae",NA,"Lophomastix diomedeae","accepted","Species","accepted","Benedict, 1904","WoRMS",NA,89
"467705",0,"Malacostraca","Decapoda","Blepharipodidae","Lophomastix",NA,"japonica",NA,"Lophomastix japonica","accepted","Species","accepted","(Duruflé, 1889)","WoRMS",NA,90
"467710",90,"Malacostraca","Decapoda","Blepharipodidae","Lophomastix",NA,"tchangsii",NA,"Lophomastix tchangsii","unaccepted","Species","synonym","Yü, 1935","WORMS","467705",91
"467712",90,"Malacostraca","Decapoda","Blepharipodidae","Lophomastrix",NA,"brevirostris",NA,"Lophomastrix brevirostris","unaccepted","Species","synonym","Urita, 1934","WORMS","467705",92
"367399",0,"Malacostraca","Decapoda","Calcinidae","Allodardanus",NA,"bredini",NA,"Allodardanus bredini","accepted","Species","accepted","Haig & Provenzano, 1965","WoRMS",NA,93
"367400",0,"Malacostraca","Decapoda","Calcinidae","Allodardanus",NA,"midas",NA,"Allodardanus midas","accepted","Species","accepted","McLaughlin & Gore, 1985","WoRMS",NA,94
"367401",0,"Malacostraca","Decapoda","Calcinidae","Allodardanus",NA,"rugosus",NA,"Allodardanus rugosus","accepted","Species","accepted","Haig & Provenzano, 1965","WoRMS",NA,95
"208666",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"aniculus",NA,"Aniculus aniculus","accepted","Species","accepted","(JC Fabricius, 1787)","WoRMS",NA,96
"411975",199,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"chiltoni",NA,"Aniculus chiltoni","unaccepted","Species","synonym","EF Thompson, 1930","WORMS","107197",97
"367402",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"elegans",NA,"Aniculus elegans","accepted","Species","accepted","Stimpson, 1858","WoRMS",NA,98
"208662",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"erythraeus",NA,"Aniculus erythraeus","accepted","Species","accepted","Forest, 1984","WoRMS",NA,99
"367403",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"hopperae",NA,"Aniculus hopperae","accepted","Species","accepted","McLaughlin & Hoover, 1996","WoRMS",NA,100
"411976",98,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"longitarsis",NA,"Aniculus longitarsis","unaccepted","Species","synonym","Streets, 1871","WORMS","367402",101
"208664",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"maximus",NA,"Aniculus maximus","accepted","Species","accepted","Edmondson, 1952","WoRMS",NA,102
"367404",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"miyakei",NA,"Aniculus miyakei","accepted","Species","accepted","Forest, 1984","WoRMS",NA,103
"411977",224,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"petersii",NA,"Aniculus petersii","unaccepted","Species","synonym","A. Milne-Edwards, 1880","WORMS","367585",104
"208663",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"retipes",NA,"Aniculus retipes","accepted","Species","accepted","Lewinsohn, 1982","WoRMS",NA,105
"367405",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"sibogae",NA,"Aniculus sibogae","accepted","Species","accepted","Forest, 1984","WoRMS",NA,106
"208667",194,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"strigatus",NA,"Aniculus strigatus","unaccepted","Species","synonym","(Herbst, 1804 [in Herbst, 1799-1804])","WORMS","246257",107
"411978",195,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"tenebrarum",NA,"Aniculus tenebrarum","unaccepted","Species","synonym","Alcock, 1905","WORMS","367487",108
"411979",96,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"typicus",NA,"Aniculus typicus","unaccepted","Species","synonym","Dana, 1852","WORMS","208666",109
"208665",0,"Malacostraca","Decapoda","Calcinidae","Aniculus",NA,"ursus",NA,"Aniculus ursus","accepted","Species","accepted","(Olivier, 1812)","WoRMS",NA,110
"212488",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"albicinctus",NA,"Bathynarius albicinctus","accepted","Species","accepted","(Alcock, 1905)","WoRMS",NA,111
"367406",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"anomalus",NA,"Bathynarius anomalus","accepted","Species","accepted","(A. Milne-Edwards & Bouvier, 1893)","WoRMS",NA,112
"367407",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"izuensis",NA,"Bathynarius izuensis","accepted","Species","accepted","Komai & Takeda, 2004","WoRMS",NA,113
"367408",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"pacificus",NA,"Bathynarius pacificus","accepted","Species","accepted","Forest, 1993","WoRMS",NA,114
"212489",0,"Malacostraca","Decapoda","Calcinidae","Bathynarius",NA,"wolffi",NA,"Bathynarius wolffi","accepted","Species","accepted","Forest, 1993","WoRMS",NA,115
"412003",147,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"abrolhensis",NA,"Calcinus abrolhensis","unaccepted","Species","synonym","Morgan, 1988","WORMS","208677",116
"367430",0,"Malacostraca","Decapoda","Calcinidae","Calcinus",NA,"albengai",NA,"Calcinus albengai","accepted","Species","accepted","Poupin & Lemaitre, 2003","WoRMS",NA,117
