;AphiaID;accid;class;order;family;genus;subgenus;species;subspecies;ScientificName;taxonomicStatus;taxonRank;type;authorship;source;valid_AphiaID
37;411976;0;Malacostraca;Decapoda;Calcinidae;Aniculus;NA;longitarsis;NA;Aniculus longitarsis;unaccepted;Species;synonym;Streets, 1871;WORMS;367402
38;590209;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;ursus;NA;Pagurus ursus;unaccepted;Species;synonym;Olivier, 1812;WORMS;208665
39;412050;0;Malacostraca;Decapoda;Diogenidae;Clibanarius;NA;albicinctus;NA;Clibanarius albicinctus;unaccepted;Species;synonym;Alcock, 1905;WORMS;212488
40;412054;0;Malacostraca;Decapoda;Diogenidae;Clibanarius;NA;anomalus;NA;Clibanarius anomalus;unaccepted;Species;synonym;A.Milne-Edwards & Bouvier, 1893;WORMS;367406
41;590213;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;chilensis;NA;Pagurus chilensis;unaccepted;Species;synonym;H. Milne Edwards, 1836;WORMS;367434
42;412328;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;decorus;NA;Pagurus decorus;unaccepted;Species;synonym;Randall, 1840;WORMS;208679
43;412341;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;elegans;NA;Pagurus elegans;unaccepted;Species;synonym;H. Milne Edwards, 1836;WORMS;208679
44;367150;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;fasciatus;NA;Pagurus fasciatus;unaccepted;Species;synonym;Bell, 1853 [in Bell, 1844-1853];WORMS;208679
45;412351;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;gaimardii;NA;Pagurus gaimardii;unaccepted;Species;synonym;H. Milne Edwards, 1848;WORMS;208672
46;412011;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;herbstei;NA;Calcinus herbstei;unaccepted;Species;synonym;de Man, 1888 [in de Man, 1887-1888];WORMS;208669
47;412564;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;herbsti;NA;Calcinus herbsti;unaccepted;Species;synonym;de Man, 1888 [in de Man, 1887-1888];WORMS;208669
48;412566;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;herbsti;var. lividus;Calcinus herbsti var. lividus;unaccepted;Variety;synonym;(H. Milne Edwards, 1848);WORMS;208669
49;208670;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;herbstii;NA;Calcinus herbstii;unaccepted;Species;synonym;de Man, 1888 [in de Man, 1887-1888];WORMS;208669
50;412567;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;herbstii;var. lividus;Calcinus herbstii var. lividus;unaccepted;Variety;synonym;(H. Milne Edwards, 1848);WORMS;208669
51;1474864;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;lividus;NA;Calcinus lividus;unaccepted;Species;synonym;(H. Milne Edwards, 1848);WORMS;208669
52;412379;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;laevimanus;NA;Pagurus laevimanus;unaccepted;Species;synonym;Randall, 1840;WORMS;208669
53;412385;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;levimanus;NA;Pagurus levimanus;unaccepted;Species;synonym;Stimpson, 1858;WORMS;208669
54;412386;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;lividus;NA;Pagurus lividus;unaccepted;Species;synonym;H. Milne Edwards, 1848;WORMS;208669
55;412450;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;tibicen;NA;Pagurus tibicen;unaccepted;Species;synonym;H. Milne Edwards, 1836;WORMS;208669
56;412003;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;abrolhensis;NA;Calcinus abrolhensis;unaccepted;Species;synonym;Morgan, 1988;WORMS;208677
57;412009;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;cristimanus;NA;Calcinus cristimanus;unaccepted;Species;synonym;(H. Milne Edwards, 1848);WORMS;208677
58;412012;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;intermedius;NA;Calcinus intermedius;unaccepted;Species;synonym;de Man, 1881;WORMS;208677
59;208676;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;terrae-reginae;NA;Calcinus terrae-reginae;unaccepted;Species;synonym;Haswell, 1882;WORMS;208677
60;412322;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;cristimanus;NA;Pagurus cristimanus;unaccepted;Species;synonym;H. Milne Edwards, 1848;WORMS;208677
61;412383;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;latens;NA;Pagurus latens;unaccepted;Species;synonym;Randall, 1840;WORMS;208677
62;412013;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;minimus;NA;Calcinus minimus;unaccepted;Species;synonym;Buitendijk, 1937;WORMS;367448
63;412004;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;areolatus;NA;Calcinus areolatus;unaccepted;Species;synonym;Rahayu & Forest, 1999;WORMS;367449
64;412412;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;pictus;NA;Pagurus pictus;unaccepted;Species;synonym;Owen, 1839;WORMS;746406
65;224034;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;nitidus;var. australensis;Calcinus nitidus var. australensis;unaccepted;Variety;synonym;Bouvier, 1915;WORMS;208678
66;1373796;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;nitidus;var. australis;Calcinus nitidus var. australis;unaccepted;Variety;synonym;Bouvier, 1915;WORMS;208678
67;412010;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;formosus;NA;Calcinus formosus;unaccepted;Species;synonym;Neumann, 1878;WORMS;367457
68;412014;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;sulcatus;NA;Calcinus sulcatus;unaccepted;Species;synonym;H. Milne Edwards, 1836;WORMS;367457
69;412008;0;Malacostraca;Decapoda;Cancridae;Cancer;NA;tibicen;NA;Cancer tibicen;unaccepted;Species;synonym;Herbst, 1791 [in Herbst, 1791-1796];WORMS;367457
70;246236;0;Malacostraca;Decapoda;Calcinidae;Calcinus;NA;ornatus;NA;Calcinus ornatus;unaccepted;Species;synonym;(P. Roux, 1830);WORMS;107194
71;412031;0;Malacostraca;Decapoda;Cancridae;Cancer;NA;tubularis;NA;Cancer tubularis;unaccepted;Species;synonym;Linnaeus, 1767;WORMS;107194
72;412067;0;Malacostraca;Decapoda;Diogenidae;Clibanarius;NA;Rouxi;NA;Clibanarius Rouxi;unaccepted;Species;synonym;Heller, 1863;WORMS;107194
73;412408;0;Malacostraca;Decapoda;Paguridae;Pagurus;NA;ornatus;NA;Pagurus ornatus;unaccepted;Species;synonym;P. Roux, 1830 [in P. Roux, 1828-1830];WORMS;107194
74;590214;0;Malacostraca;Decapoda;Diogenidae;Clibanarius;NA;verrillii;NA;Clibanarius verrillii;unaccepted;Species;synonym;Rathbun in Verrill, 1901;WORMS;367460
